T,SM,base,reagent,time
81.9,0.208,0.405,0.2,0
81.9,0.208,0.405,0.2,15
81.9,0.208,0.405,0.2,30
81.9,0.208,0.405,0.2,45
81.9,0.208,0.405,0.2,60
81.9,0.208,0.405,0.2,90
81.9,0.208,0.405,0.2,120
81.9,0.208,0.405,0.2,180
81.9,0.208,0.405,0.2,240
81.9,0.208,0.405,0.2,360
81.9,0.208,0.405,0.2,540
81.9,0.208,0.405,0.2,900
81.9,0.203,0.405,0.4,0
81.9,0.203,0.405,0.4,15
81.9,0.203,0.405,0.4,30
81.9,0.203,0.405,0.4,45
81.9,0.203,0.405,0.4,60
81.9,0.203,0.405,0.4,90
81.9,0.203,0.405,0.4,120
81.9,0.203,0.405,0.4,180
81.9,0.203,0.405,0.4,240
81.9,0.203,0.405,0.4,360
81.9,0.203,0.405,0.4,540
81.9,0.203,0.405,0.4,900
81.9,0.204,0.811,0.2,0
81.9,0.204,0.811,0.2,15
81.9,0.204,0.811,0.2,30
81.9,0.204,0.811,0.2,45
81.9,0.204,0.811,0.2,60
81.9,0.204,0.811,0.2,90
81.9,0.204,0.811,0.2,120
81.9,0.204,0.811,0.2,180
81.9,0.204,0.811,0.2,240
81.9,0.204,0.811,0.2,360
81.9,0.204,0.811,0.2,540
81.9,0.204,0.811,0.2,900
61.1,0.209,0.406,0.2,0
61.1,0.209,0.406,0.2,15
61.1,0.209,0.406,0.2,30
61.1,0.209,0.406,0.2,45
61.1,0.209,0.406,0.2,60
61.1,0.209,0.406,0.2,90
61.1,0.209,0.406,0.2,120
61.1,0.209,0.406,0.2,180
61.1,0.209,0.406,0.2,240
61.1,0.209,0.406,0.2,360
61.1,0.209,0.406,0.2,540
61.1,0.209,0.406,0.2,900
71,0.209,0.407,0.2,0
71,0.209,0.407,0.2,15
71,0.209,0.407,0.2,30
71,0.209,0.407,0.2,45
71,0.209,0.407,0.2,60
71,0.209,0.407,0.2,90
71,0.209,0.407,0.2,120
71,0.209,0.407,0.2,180
71,0.209,0.407,0.2,240
71,0.209,0.407,0.2,360
71,0.209,0.407,0.2,540
71,0.209,0.407,0.2,900
