Time (min),SM (mmol),P (mmol),IMP2 (mmol),Time (min),SM (mmol),P (mmol),IMP2 (mmol),Time (min),SM (mmol),P (mmol),IMP2 (mmol),Time (min),SM (mmol),P (mmol),IMP2 (mmol,Time (min),SM (mmol),P (mmol),IMP2 (mmol)
0,0.207562622,0,0,0,0.202808732,0,0,0,0.204340173,0,0,0,0.208977945,0,0,0,0.208778462,0,0
15,0.200137047,0.006618218,0,15,0.190890576,0.013413013,0.000109783,15,0.198368989,0.006391644,0,15,0.207601213,0.001526841,0,15,0.205653774,0.002915018,0
30,0.195114628,0.012496322,0.000135508,30,0.178387149,0.025160347,0.000332365,30,0.193475999,0.01214138,0,30,0.20622448,0.003053681,0,30,0.202529086,0.005830035,0
45,0.189337427,0.017885893,0.000203929,45,0.168634644,0.03589549,0.00069026,45,0.188044962,0.017538089,0.000186746,45,0.204007288,0.00444149,0,45,0.199844884,0.008484061,0
60,0.183610187,0.023167172,0.00030284,60,0.15727437,0.045334461,0.001137682,60,0.183226744,0.02288273,0.000255519,60,0.201790096,0.005829298,0,60,0.197160682,0.011138087,0
90,0.172934099,0.033130017,0.000563039,90,0.140196092,0.062288375,0.002319328,90,0.172559786,0.032169665,0.000557716,90,0.199526317,0.008679686,0,90,0.191199162,0.016171551,0.000117646
120,0.164385996,0.041426165,0.000908196,120,0.123539688,0.0762173,0.003798544,120,0.162526515,0.040767863,0.000935728,120,0.197983474,0.011421656,0,120,0.186714496,0.021139592,0.000209058
180,0.147909204,0.056712859,0.001815441,180,0.090391875,0.097791361,0.007442081,180,0.147751687,0.055702456,0.001851231,180,0.191614822,0.017021395,0.000161982,180,0.175575514,0.02986424,0.000395091
240,0.135597197,0.067953554,0.002836297,240,0.078652102,0.112485879,0.011528482,240,0.133390978,0.067198672,0.002825128,240,0.183308126,0.021566241,0.000260453,240,0.168523222,0.038504709,0.000682923
360,0.117793874,0.085514412,0.004866537,360,0.054391199,0.12894344,0.020495329,360,0.116290196,0.083847054,0.004971681,360,0.175298548,0.031336215,0.000448133,360,0.152905652,0.051929724,0.001441527
540,0.093857052,0.099049618,0.007873546,540,0.035575146,0.136592862,0.033231602,540,0.098684638,0.099520848,0.008041916,540,0.162631701,0.043600756,0.000906446,540,0.133749657,0.068737427,0.002637421
900,0.066684749,0.113683046,0.013226844,900,0.010621228,0.128986719,0.054479199,900,0.063799597,0.112170662,0.013602667,900,0.140692007,0.063519341,0.002057358,900,0.11032928,0.090397548,0.005308718
